Production;Consumption;F_Aar;F_Mnd;F_Dag;F_Time
16935;16151;2020;1;1;0
16713;15787;2020;1;1;1
16106;15532;2020;1;1;2
15084;15427;2020;1;1;3
14149;15321;2020;1;1;4
12643;15248;2020;1;1;5
12146;15454;2020;1;1;6
12339;15880;2020;1;1;7
13142;16241;2020;1;1;8
13226;16472;2020;1;1;9
13660;16792;2020;1;1;10
14433;17192;2020;1;1;11
15098;17296;2020;1;1;12
15359;17367;2020;1;1;13
15893;17582;2020;1;1;14
16628;17963;2020;1;1;15
17393;18086;2020;1;1;16
17803;17908;2020;1;1;17
17636;17645;2020;1;1;18
17210;17545;2020;1;1;19
16253;17217;2020;1;1;20
15617;16828;2020;1;1;21
14002;16420;2020;1;1;22
13278;15878;2020;1;1;23
12123;15343;2020;1;2;0
11541;15166;2020;1;2;1
11761;15152;2020;1;2;2
11611;15136;2020;1;2;3
11819;15137;2020;1;2;4
12853;15580;2020;1;2;5
14548;16654;2020;1;2;6
15374;17795;2020;1;2;7
16180;18280;2020;1;2;8
16212;18311;2020;1;2;9
16508;18386;2020;1;2;10
16551;18232;2020;1;2;11
16585;18188;2020;1;2;12
16656;18236;2020;1;2;13
16816;18374;2020;1;2;14
17190;18569;2020;1;2;15
17566;18818;2020;1;2;16
17169;18418;2020;1;2;17
16845;18222;2020;1;2;18
16025;17935;2020;1;2;19
14778;17417;2020;1;2;20
14059;17111;2020;1;2;21
13111;16614;2020;1;2;22
12082;16055;2020;1;2;23
11832;15564;2020;1;3;0
11568;15279;2020;1;3;1
11005;14988;2020;1;3;2
10415;14916;2020;1;3;3
10233;15022;2020;1;3;4
11003;15586;2020;1;3;5
13164;16485;2020;1;3;6
14936;17886;2020;1;3;7
16637;18717;2020;1;3;8
17266;18779;2020;1;3;9
17869;18962;2020;1;3;10
18423;18925;2020;1;3;11
18525;18971;2020;1;3;12
18351;18917;2020;1;3;13
18434;19079;2020;1;3;14
18821;19292;2020;1;3;15
18982;19541;2020;1;3;16
18967;19680;2020;1;3;17
18303;19427;2020;1;3;18
17489;19170;2020;1;3;19
16008;18868;2020;1;3;20
14881;18557;2020;1;3;21
13890;17897;2020;1;3;22
13195;17430;2020;1;3;23
12962;16964;2020;1;4;0
12741;16732;2020;1;4;1
12745;16678;2020;1;4;2
12360;16500;2020;1;4;3
12228;16582;2020;1;4;4
12090;16648;2020;1;4;5
12159;16948;2020;1;4;6
13135;17466;2020;1;4;7
14231;18041;2020;1;4;8
15098;18633;2020;1;4;9
15358;18926;2020;1;4;10
15095;18970;2020;1;4;11
15013;18825;2020;1;4;12
14996;18906;2020;1;4;13
15096;18663;2020;1;4;14
15728;19030;2020;1;4;15
16733;19458;2020;1;4;16
