Aar;Mnd;Dag;Time;Ukedag;PrisOre
2020;1;1;0;3;30.92
2020;1;1;1;3;30.57
2020;1;1;2;3;29.98
2020;1;1;3;3;29.57
2020;1;1;4;3;29.59
2020;1;1;5;3;28.53
2020;1;1;6;3;27.76
2020;1;1;7;3;26.94
2020;1;1;8;3;27.56
2020;1;1;9;3;28.10
2020;1;1;10;3;28.77
2020;1;1;11;3;29.44
2020;1;1;12;3;30.17
2020;1;1;13;3;30.83
2020;1;1;14;3;31.56
2020;1;1;15;3;32.20
2020;1;1;16;3;32.73
2020;1;1;17;3;32.65
2020;1;1;18;3;32.30
2020;1;1;19;3;31.57
2020;1;1;20;3;29.71
2020;1;1;21;3;29.37
2020;1;1;22;3;27.81
2020;1;1;23;3;26.66
2020;1;2;0;4;12.97
2020;1;2;1;4;14.11
2020;1;2;2;4;20.49
2020;1;2;3;4;22.69
2020;1;2;4;4;26.10
2020;1;2;5;4;28.23
2020;1;2;6;4;29.81
2020;1;2;7;4;30.51
2020;1;2;8;4;31.56
2020;1;2;9;4;32.18
2020;1;2;10;4;32.14
2020;1;2;11;4;32.19
2020;1;2;12;4;32.17
2020;1;2;13;4;32.17
2020;1;2;14;4;32.43
2020;1;2;15;4;33.27
2020;1;2;16;4;33.53
2020;1;2;17;4;33.29
2020;1;2;18;4;32.61
2020;1;2;19;4;31.45
2020;1;2;20;4;30.27
2020;1;2;21;4;30.11
2020;1;2;22;4;29.75
2020;1;2;23;4;26.21
2020;1;3;0;5;20.34
2020;1;3;1;5;10.72
2020;1;3;2;5;1.64
2020;1;3;3;5;1.12
2020;1;3;4;5;1.14
2020;1;3;5;5;10.66
2020;1;3;6;5;26.30
2020;1;3;7;5;28.67
2020;1;3;8;5;30.22
2020;1;3;9;5;30.71
2020;1;3;10;5;30.26
2020;1;3;11;5;30.92
2020;1;3;12;5;30.42
2020;1;3;13;5;30.56
2020;1;3;14;5;31.12
2020;1;3;15;5;32.09
2020;1;3;16;5;32.40
2020;1;3;17;5;32.31
2020;1;3;18;5;31.74
2020;1;3;19;5;31.28
2020;1;3;20;5;29.99
2020;1;3;21;5;29.04
2020;1;3;22;5;27.62
2020;1;3;23;5;23.68
2020;1;4;0;6;23.35
2020;1;4;1;6;21.96
2020;1;4;2;6;21.66
2020;1;4;3;6;21.08
2020;1;4;4;6;20.45
2020;1;4;5;6;20.31
2020;1;4;6;6;21.21
2020;1;4;7;6;23.16
2020;1;4;8;6;24.01
2020;1;4;9;6;25.98
2020;1;4;10;6;26.80
2020;1;4;11;6;26.98
2020;1;4;12;6;26.80
2020;1;4;13;6;26.81
2020;1;4;14;6;27.13
2020;1;4;15;6;28.29
2020;1;4;16;6;29.40
2020;1;4;17;6;31.03
2020;1;4;18;6;31.78
2020;1;4;19;6;31.61
2020;1;4;20;6;29.78
2020;1;4;21;6;29.44
2020;1;4;22;6;29.41
2020;1;4;23;6;27.69
2020;1;5;0;7;28.64
2020;1;5;1;7;29.15
2020;1;5;2;7;29.13
2020;1;5;3;7;29.46
2020;1;5;4;7;30.15
2020;1;5;5;7;31.00
2020;1;5;6;7;31.44
2020;1;5;7;7;32.21
2020;1;5;8;7;33.37
2020;1;5;9;7;33.50
2020;1;5;10;7;33.96
2020;1;5;11;7;33.90
2020;1;5;12;7;33.55
2020;1;5;13;7;33.24
2020;1;5;14;7;32.96
2020;1;5;15;7;33.08
2020;1;5;16;7;33.48
2020;1;5;17;7;33.88
2020;1;5;18;7;33.42
2020;1;5;19;7;32.69
2020;1;5;20;7;32.10
2020;1;5;21;7;31.42
2020;1;5;22;7;30.26
2020;1;5;23;7;28.67
2020;1;6;0;1;28.39
2020;1;6;1;1;28.48
2020;1;6;2;1;29.02
2020;1;6;3;1;29.08
2020;1;6;4;1;29.04
2020;1;6;5;1;29.68
2020;1;6;6;1;30.26
2020;1;6;7;1;31.25
2020;1;6;8;1;31.95
2020;1;6;9;1;32.79
2020;1;6;10;1;33.44
2020;1;6;11;1;33.56
2020;1;6;12;1;33.51
2020;1;6;13;1;33.40
2020;1;6;14;1;33.54
2020;1;6;15;1;33.63
2020;1;6;16;1;34.13
2020;1;6;17;1;34.11
2020;1;6;18;1;33.64
